,앱명,개발사,구글스토어 순위,애플스토어 순위,원스토어 순위
0,오딘: 발할라 라이징,Kakao Games Corp.,"1
위","1
위",-
1,리니지M,NCSOFT,"2
위","5
위",-
2,블레이드&소울2,NCSOFT,"3
위","20
위",-
3,원신-1주년,miHoYo Limited,"4
위","4
위",-
4,FIFA ONLINE 4 M by EA SPORTS™,NEXON Company,"24
위","2
위","1
위"
5,삼국지 전략판,Qookka Games,"10
위","26
위","2
위"
6,기적의 검,4399 KOREA,"6
위","11
위","5
위"
7,리니지2M,NCSOFT,"5
위","21
위",-
8,쿠키런: 킹덤,Devsisters Corporation,"8
위","6
위","9
위"
9,바람의나라: 연,NEXON Company,"17
위","12
위","3
위"
10,히어로즈 테일즈,37 Mobile Games,"9
위","32
위","6
위"
11,제2의 나라: CROSS WORLDS,Netmarble,"7
위","7
위",-
12,라이즈 오브 킹덤즈,LilithGames,"11
위","17
위",-
13,MARVEL 퓨처 레볼루션,Netmarble,"13
위","24
위",-
14,미르4,"Wemade Co., Ltd","61
위","85
위","4
위"
15,뮤 아크엔젤,Webzen Inc.,"12
위","83
위",-
16,블레이드&소울 레볼루션,Netmarble,"14
위","38
위",-
17,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,"33
위","41
위","7
위"
18,카트라이더 러쉬플러스,NEXON Company,"23
위","10
위",-
19,세븐나이츠2,Netmarble,"18
위","22
위",-
20,ROBLOX,Roblox Corporation,"15
위","107
위",-
21,리니지2 레볼루션,Netmarble,"16
위","55
위",-
22,한게임 포커,NHN BIGFOOT,"21
위","96
위","23
위"
23,피파모바일,NEXON Company,"22
위","16
위",-
24,에픽세븐,Smilegate Megaport,"19
위","44
위",-
25,카카오톡 KakaoTalk,Kakao Corporation,"27
위","14
위","171
위"
26,R2M,Webzen Inc.,"20
위","104
위",-
27,천상나르샤,Eyougame Inc.,"30
위","71
위","13
위"
28,V4,NEXON Company,"25
위","39
위",-
29,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",NEOWIZ corp,"26
위","111
위","63
위"
30,배틀그라운드,"KRAFTON, Inc.","29
위","29
위",-
31,브롤스타즈,Supercell,"31
위","31
위",-
32,한게임포커 클래식 with PC,NHN Corp.,"28
위",-,"85
위"
33,YouTube,Google LLC,-,"3
위",-
34,나의 히어로 아카데미아: 최강 히어로,Bluetaku Pte. Ltd.,"47
위","8
위",-
35,원펀맨: 최강의 남자,GAMENOW TECHNOLOGY,"45
위","60
위","12
위"
36,건쉽배틀 토탈워페어,JOYCITY Corp.,"42
위","92
위","16
위"
37,영검,IYAGAMES,"32
위","108
위","67
위"
38,"윈조이 포커 - 홀덤, 블랙잭, 바카라, 슬롯, 7포커, 로우바둑이, 뉴포커를 동시에!",Zempot INC.,"95
위",-,"8
위"
39,에이지 오브 제트: 타워 디펜스,Camel Games Limited,"46
위","50
위","19
위"
40,꿈의 집 (Homescapes),Playrix,"35
위","36
위",-
41,메이플스토리M,NEXON Company,"43
위","19
위",-
42,퍼즐 오브 Z,"BLANCOZONE NETWORK CO., LIMITED","44
위","63
위","46
위"
43,디 앤츠: 언더그라운드 킹덤,StarUnion,"34
위",-,-
44,라이즈 오브 엠파이어,Long Tech Network Limited,"69
위","97
위","14
위"
45,엠파이어 & 퍼즐 (Empires & Puzzles),Small Giant Games,"36
위","119
위",-
46,컴투스프로야구2021,Com2uS,"57
위","66
위","24
위"
47,갑부: 장사의 시대,BLANCOZONE NETWORK KOREA,"82
위","53
위","18
위"
48,궁3D,WISH INTERACTIVE TECHNOLOGY LIMITED,"75
위","49
위","21
위"
49,꿈의 정원 (Gardenscapes),Playrix,"40
위","51
위",-
50,프렌즈샷: 누구나골프,Kakao Games Corp.,"41
위","54
위",-
51,월드 플리퍼,Kakao Games Corp.,"49
위","23
위",-
52,그랑삼국,YOUZU(SINGAPORE)PTE.LTD.,"87
위","91
위","15
위"
53,A3: 스틸얼라이브,Netmarble,"37
위",-,-
54,슬레이어 키우기,GEAR2,"38
위",-,-
55,라스트 쉘터: 서바이벌,Long Tech Network Limited,"131
위","100
위","10
위"
56,로드 모바일: 타워 디펜스,IGG.COM,"39
위",-,"249
위"
57,황제라 칭하라,"Clicktouch Co., Ltd.","68
위","82
위","31
위"
58,네이버 웹툰 - Naver Webtoon,NAVER WEBTOON,-,"9
위",-
59,가디언 테일즈,Kakao Games Corp.,"60
위","28
위",-
60,"왕이되는자 - 서민에서 왕까지, 세상을 흔드는 자",CHUANG COOL ENTERTAINMENT,"143
위","74
위","17
위"
61,wavve(웨이브) - 재미의 파도를 타다!,wavve,-,"27
위","20
위"
62,랜덤 다이스(Random Dice): PvP 디펜스,111%,"52
위","42
위",-
63,소녀X헌터,Sincetimes Inc.,"84
위",-,"26
위"
64,마구마구 2021,Netmarble,"64
위","35
위",-
65,검은사막 모바일,PEARL ABYSS,"59
위","65
위","72
위"
66,로드 오브 히어로즈,CloverGames,"48
위","93
위",-
67,신명2:아수라,Trigirls Studio,"73
위","58
위","57
위"
68,코노스바 모바일 - 판타스틱 데이즈,NEXON Company,"50
위","79
위",-
69,라그나로크 오리진,"GRAVITY Co., Ltd.","94
위",-,"25
위"
70,"티빙(TVING) - 실시간, TV프로그램, 영화",씨제이이엔엠(CJ ENM),-,"13
위",-
71,킹덤 : 전쟁의 불씨,FOW Games,"89
위",-,"28
위"
72,붕괴3rd,miHoYo Limited,"53
위","62
위",-
73,음양문,"Scene Stealer Co., Ltd.","65
위",-,"43
위"
74,쿠키런: 오븐브레이크 - 쿠키들의 러닝 게임!,Devsisters Corporation,"77
위","48
위","84
위"
75,Top War: Battle Game,Topwar Studio,"56
위","64
위",-
76,AFK 아레나,LilithGames,"55
위","77
위",-
77,아프리카TV - AfreecaTV,AfreecaTV,-,-,"11
위"
78,뮤 아크엔젤2,Webzen Inc.,"261
위","15
위",-
79,모두의마블,Netmarble,"86
위","61
위","68
위"
80,데카론M,THUMBAGE,"105
위",-,"30
위"
81,캔디크러쉬사가,King,"58
위","90
위",-
82,마피아 시티,YottaGame,"71
위",-,"52
위"
83,트릭스터M,NCSOFT,"51
위",-,-
84,에오스 레드,BluePotion Games,"92
위",-,"36
위"
85,슬램덩크,DeNA HONG KONG LIMITED,"107
위","88
위","40
위"
86,한게임 섯다&맞고,NHN BIGFOOT,"76
위","99
위","90
위"
87,피망 뉴맞고: 고스톱 대표 맞고 게임,NEOWIZ corp,"63
위","115
위","141
위"
88,삼국지군웅전,FIREPIG LIMITED,"66
위","81
위",-
89,조선협객전M,withHUG,"130
위",-,"29
위"
90,King of Avalon: 영토 전쟁,Century Games Limited,"149
위",-,"27
위"
91,에브리타운,FLERO Games,"119
위",-,"33
위"
92,서머너즈 워: 천공의 아레나,Com2uS,"70
위","80
위",-
93,임모탈 키우기 : 국산 방치형 액션 RPG,Bad Beans,"54
위",-,-
94,피쉬돔 (Fishdom),Playrix,"74
위","75
위",-
95,왓챠,Watcha Inc.,"155
위","25
위",-
96,백야극광,PROXIMA BETA,"83
위","57
위",-
97,사신키우기 온라인 : 신규서버 오픈,DAERISOFT,"85
위",-,"60
위"
98,신삼국지 모바일-코에이 테크모 인증,QookkaGames,"373
위",-,"22
위"
99,황제의 꿈,37GAMES.AISA,"136
위",-,"34
위"
100,무협지존: 영웅문,Efun Company,"210
위","67
위","38
위"
101,카카오페이지 KakaoPage,Kakao Entertainment Corp.,-,"18
위",-
102,S.O.S: 스테이트 오브 서바이벌 x 더 워킹 데드,KingsGroup Holdings,"62
위",-,-
103,케페우스M,Ujoy Games,"106
위",-,"44
위"
104,마피아42,TEAM42,"169
위","59
위","51
위"
105,MLB 9이닝스 21,Com2uS,"78
위","124
위",-
106,뮤오리진2,Webzen Inc.,"67
위",-,-
107,리그 오브 레전드: 와일드 리프트,"Riot Games, Inc","110
위","47
위",-
108,냥코 대전쟁,PONOS Corporation,"72
위",-,-
109,달빛조각사,Kakao Games Corp.,"114
위",-,"50
위"
110,애니팡4,SUNDAYTOZ Corp.,"81
위",-,"133
위"
111,한게임 신맞고 : 대한민국 원조 고스톱,NHN PixelCube Corp.,"79
위",-,"209
위"
112,파이널삼국지2,Gamepub,"174
위",-,"37
위"
113,인피니트 라그랑주,Netease Games Global,"129
위",-,"47
위"
114,삼국지 오리진,R2 Games Asia,"199
위",-,"35
위"
115,클래시 오브 클랜,Supercell,"93
위","110
위",-
116,랑그릿사,ZlongGames,"80
위",-,-
117,블리치: 만해의 길,DAMO NETWORK LIMITED,"255
위","95
위","42
위"
118,리니지M(12),NCSOFT,"96
위","103
위",-
119,리슨 Lysn,"Dear U Co., Ltd.","230
위","34
위",-
120,MARVEL 퓨처파이트,Netmarble,"104
위","87
위",-
121,하쿠나 라이브 - Live 방송,MOVEFAST Company,"168
위","40
위",-
122,라스트오리진,SmartJoy,"523
위",-,"32
위"
123,Pokémon GO,"Niantic, Inc.","98
위","117
위",-
124,애니팡3,SUNDAYTOZ Corp.,"88
위",-,"182
위"
125,전략적 팀 전투: 리그 오브 레전드 전략 게임,"Riot Games, Inc","225
위","37
위",-
126,Project Makeover,"Magic Tavern, Inc.","125
위","69
위",-
127,에보니 - 왕의 귀환,TG Inc.,"90
위",-,-
128,카운터사이드,NEXON Company,"91
위",-,-
129,SERIES - 네이버 시리즈,NAVER WEBTOON,-,"30
위",-
130,위피 - 동네 친구가 필요할 때,NRISE,"181
위","45
위",-
131,리치리치,U.LU Games,"166
위",-,"54
위"
132,라이프애프터,X.D. Global,"113
위","123
위",-
133,프로야구 H3,NCSOFT,"97
위",-,-
134,Yu-Gi-Oh! Duel Links,KONAMI,"118
위","116
위",-
135,Guns of Glory: 철가면,Century Games Limited,"163
위",-,"59
위"
136,삼국지혼,YOUZU(SINGAPORE)PTE.LTD.,"299
위","109
위","58
위"
137,검은강호2: MMORPG 유저 원픽,9SplayDeveloper,"122
위",-,"86
위"
138,Hero Wars,NEXTERS GLOBAL LTD,"99
위",-,-
139,"WPL : 텍사스 홀덤, 토너먼트, 싯앤고",Zempot INC.,"100
위",-,-
140,카카오웹툰 – KAKAO WEBTOON,Kakao Entertainment Corp.,-,"33
위",-
141,후궁의 법칙,X.D. Global,"101
위",-,-
142,더 킹 오브 파이터즈98 UM온라인,FingerFun Limited.,"335
위",-,"39
위"
143,오늘도 우라라 원시 헌팅 라이프,X.D. Global,"156
위","70
위",-
144,클래시 로얄,Supercell,"124
위","118
위",-
145,에이스 디펜더: 드래곤 슬레이어 전쟁,ACE GAME INTERNATIONAL LIMITED,"102
위",-,-
146,십이지천M,NTORI,"240
위",-,"48
위"
147,꿈의 마을 (Township),Playrix,"103
위",-,-
148,eFootball PES 2021,KONAMI,"290
위","43
위",-
149,앙상블스타즈!!,HappyElements,"128
위","121
위",-
150,킹 오브 파이터 올스타,Netmarble,"151
위",-,"74
위"
151,관우 키우기 - 국산 삼국지 방치형 RPG,mobirix,"108
위",-,-
152,프렌즈팝콘,Kakao Games Corp.,"111
위",-,"220
위"
153,명일방주,Yostar Limited.,"142
위",-,"83
위"
154,Art of War: Legions,Fastone Games HK,"109
위",-,-
155,Tinder 틴더 - 동네 친구를 만나는 곳,Tinder,"224
위","56
위",-
156,삼국지M,Efun Company,"311
위",-,"49
위"
157,프로야구 H2,NCSOFT,"409
위",-,"45
위"
158,찐삼국,ICEBIRD GAMES,"171
위",-,"71
위"
159,패밀리 아일랜드 - 농장모험게임,Melsoft Games Ltd,"112
위",-,-
160,그랑사가,NPIXEL,"176
위",-,"69
위"
161,숨겨진 유산,Playrix,"144
위","122
위",-
162,마법소녀 키우기,Mind Blossom,"115
위",-,-
163,애니팡2,SUNDAYTOZ Corp.,"116
위",-,-
164,컴투스프로야구매니저,Com2uS,"300
위",-,"55
위"
165,트라하,NEXON Company,"212
위",-,"66
위"
166,더 워킹데드: 서바이버즈,Galaxy Play Technology Limited,"117
위",-,-
167,뇌명천하2 리턴즈,4399 KOREA,"140
위",-,"114
위"
168,"글램 - 데이트, 라이브 채팅으로 만남을 재밌고 쉽게",Cupist Inc.,"187
위","86
위",-
169,궁정계,WISH INTERACTIVE TECHNOLOGY LIMITED,"237
위",-,"64
위"
170,패밀리팜 어드벤처,Century Games Pte. Ltd.,"160
위","114
위",-
171,페이트/그랜드 오더,Netmarble,"120
위",-,-
172,로한M,PLAYWITH Inc.,"313
위",-,"56
위"
173,위 베어 베어스 더 퍼즐,SUNDAYTOZ Corp.,"121
위",-,-
174,달토끼 키우기,AbleGames,"123
위",-,-
175,올인삼국,(주) 채플린게임즈,-,-,"41
위"
176,캐리비안의 해적: 전쟁의 물결,JOYCITY Corp.,"204
위",-,"73
위"
177,블라스트M,Longtu Korea Inc.,"190
위",-,"76
위"
178,아르카,GAMELAND(HK),"150
위",-,"113
위"
179,타임 프린세스,IGG.COM,"126
위",-,-
180,카이로스 : 어둠을 밝히는 자,Longtu Korea Inc.,"179
위",-,"87
위"
181,마이티 파워: 배틀 히어로즈. 매직 레전드.,PANORAMIK GAMES LTD,"127
위",-,-
182,동방불패 모바일,Perfect World Korea,"309
위",-,"62
위"
183,프렌즈팝,Kakao Games Corp.,"137
위",-,"145
위"
184,밀리의 서재 - 독서와 무제한 친해지리,밀리의서재,"203
위","94
위",-
185,아자르 Azar - 새 친구로 일상을 새로고침,Hyperconnect inc,"264
위","73
위",-
186,Identity V -제5인격,NetEase Games,"178
위","126
위",-
187,BIGPOT 999,주식회사 레디나인,"132
위",-,-
188,"Spoon 스푼: 오디오 소셜 미디어에서 즐기는 라이브 방송, 팟캐스트, 토크",Spoonradio.co,-,"46
위",-
189,키스오브워,tap4fun,"133
위",-,-
190,닌자대전,gameduo,"268
위","78
위",-
191,삼국지 각성,37games,"208
위",-,"81
위"
192,Mech Arena (메크 아레나): Robot Showdown,Plarium Global Ltd,"134
위",-,-
193,DRAGON BALL Z 폭렬격전,BANDAI NAMCO Entertainment Inc.,"135
위",-,-
194,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,에이치소사이어티,"201
위","112
위",-
195,심쿵 - 여사친 남사친 동네친구 만들기,Colondee,"213
위","106
위",-
196,좀비고등학교,AWESOMEPIECE,"139
위",-,"259
위"
197,쾌남본좌,R2 Games Asia,"193
위",-,"99
위"
198,ANOTHER EDEN 시공을 넘는 고양이,"WFS, Inc.","138
위",-,-
199,삼국블레이드,"ACTION SQUARE CO., LTD.","211
위",-,"92
위"
