국가,백신보유량,인구당_백신보유율,1차접종,2차접종,일별접종수
Global Total,6274924500.0,-999.0,-999.0,-999.0,31175856.0
Mainland China,2208921000.0,78.9,82.5,74.8,3191143.0
India,890038700.0,32.5,47.2,17.1,6966795.0
EU,565966140.0,63.7,67.6,65.1,1033298.0
U.S.,392909980.0,61.4,64.6,55.6,725777.0
Brazil,234674910.0,56.8,71.5,42.3,1332519.0
Japan,163738220.0,64.9,70.3,59.5,1138904.0
Indonesia,142192370.0,26.6,33.7,18.9,1737233.0
Turkey,109525624.0,65.9,64.8,53.5,373487.0
Germany,107653600.0,64.8,68.0,64.5,186276.0
Mexico,100516960.0,39.4,49.9,35.5,427607.0
France,94573790.0,72.9,77.5,74.8,248504.0
U.K.,93696490.0,70.1,73.1,67.2,63684.0
Russia,90580440.0,30.9,32.7,28.7,230809.0
Italy,84757630.0,70.2,74.7,74.8,203654.0
Pakistan,80508570.0,19.7,28.5,13.4,763207.0
Spain,70083820.0,75.4,81.1,78.8,63084.0
South Korea,64172690.0,62.1,75.4,48.7,636888.0
Canada,56166788.0,74.8,76.2,70.6,91010.0
Iran,51950784.0,31.2,43.6,18.8,953168.0
Argentina,51773290.0,57.6,65.9,49.3,213630.0
Thailand,49681430.0,35.7,45.4,26.0,609736.0
Bangladesh,48225450.0,14.5,18.9,10.0,2266632.0
Philippines,45147576.0,21.0,25.2,22.4,355457.0
Malaysia,43367580.0,66.6,71.7,61.7,304623.0
Saudi Arabia,42106416.0,61.8,68.6,54.9,106478.0
Vietnam,41153040.0,21.3,33.4,9.3,702595.0
Morocco,41099860.0,57.7,62.7,52.8,284169.0
Colombia,40168280.0,39.9,51.7,33.1,185394.0
Poland,37212956.0,49.0,52.2,51.1,19980.0
Chile,31887444.0,83.4,79.4,73.9,110980.0
Australia,27750500.0,54.4,64.3,43.3,281141.0
Peru,26327868.0,39.7,47.4,32.0,239333.0
Sri Lanka,26233218.0,60.2,66.4,53.7,127671.0
Cambodia,24090068.0,73.0,80.5,66.6,141465.0
Netherlands,23585124.0,68.4,74.4,66.9,20723.0
Cuba,20788248.0,91.7,81.7,44.0,244895.0
Ecuador,20773286.0,60.1,65.1,57.3,33531.0
UAE,20052400.0,93.3,86.4,76.6,48425.0
Uzbekistan,19969344.0,30.0,29.4,12.9,269547.0
Ukraine,18235448.0,21.8,30.2,13.5,158539.0
South Africa,17505358.0,16.7,20.9,14.5,107175.0
Belgium,16707583.0,72.9,74.9,73.4,22819.0
Egypt,16223309.0,8.2,10.6,5.7,428187.0
Portugal,15956183.0,77.6,86.9,84.3,12457.0
Venezuela,15714857.0,28.2,35.0,21.5,367672.0
Taiwan,15441421.0,32.7,55.4,10.1,264522.0
Israel,15159823.0,83.7,67.5,62.3,46100.0
Kazakhstan,14168795.0,38.0,40.8,34.9,56149.0
Algeria,14082920.0,16.2,13.9,9.3,292376.0
Sweden,13749771.0,66.6,69.3,63.6,25773.0
Nepal,13742124.0,24.1,25.4,21.9,226872.0
Greece,12133980.0,56.6,60.1,57.1,21506.0
Dominican Republic,11889265.0,57.4,58.4,55.5,21084.0
Czech Republic,11800850.0,55.4,57.1,55.9,7620.0
Hungary,11167215.0,57.1,60.2,57.8,5617.0
Myanmar,10935671.0,10.3,13.6,7.1,241757.0
Austria,10831184.0,61.1,64.7,61.1,10921.0
Switzerland,10414069.0,60.9,64.6,58.7,26275.0
Romania,10237524.0,26.4,28.4,27.6,34345.0
Singapore,9353320.0,82.0,82.3,79.4,23587.0
Denmark,8823891.0,76.0,76.7,75.3,3989.0
Hong Kong,8676555.0,57.7,59.7,55.6,28942.0
Azerbaijan,8485952.0,42.5,47.5,37.5,54153.0
Tunisia,8027352.0,34.1,42.7,32.3,104213.0
Norway,7795659.0,72.8,77.5,68.0,14534.0
Iraq,7608508.0,9.7,12.0,7.5,26701.0
Finland,7582431.0,68.7,74.9,62.5,20354.0
El Salvador,7525604.0,58.3,63.3,52.6,41734.0
Ireland,7213100.0,72.9,76.2,74.3,7958.0
Jordan,7002305.0,34.8,36.8,32.5,17071.0
Guatemala,6904008.0,19.6,25.3,13.5,68566.0
Bolivia,6729706.0,29.1,36.8,28.2,29659.0
Nigeria,6552979.0,1.6,2.3,0.9,74489.0
Serbia,6477199.0,46.5,43.6,41.6,17794.0
Oman,6374064.0,76.0,90.1,61.9,435460.0
Uruguay,6255460.0,88.9,77.7,73.0,18210.0
Costa Rica,5596495.0,55.1,64.5,39.5,45438.0
Panama,5367816.0,63.6,69.7,57.5,16408.0
Zimbabwe,5320565.0,17.8,20.6,15.1,28149.0
Honduras,5196072.0,26.6,32.8,20.4,46577.0
New Zealand,5174210.0,52.5,66.6,38.4,49094.0
Slovakia,4772359.0,43.8,44.9,41.3,5374.0
Qatar,4712907.0,84.3,84.4,79.4,4463.0
Mongolia,4662652.0,70.7,68.3,64.6,13034.0
Paraguay,4488153.0,31.4,36.7,26.1,10182.0
Laos,4402770.0,30.7,41.1,26.7,9906.0
Tajikistan,3872421.0,20.8,24.8,16.8,70941.0
Kenya,3761876.0,4.0,5.9,1.9,36291.0
Rwanda,3760170.0,15.2,17.0,13.3,55407.0
Ethiopia,3660632.0,1.9,2.9,0.9,35875.0
Mozambique,3644423.0,5.8,6.1,5.6,54234.0
Croatia,3428029.0,42.1,44.7,41.9,5604.0
Belarus,3389520.0,17.9,19.8,16.0,26145.0
Lithuania,3214538.0,57.8,62.7,57.9,1486.0
Angola,3134137.0,5.2,7.1,3.3,44858.0
Afghanistan,3133227.0,4.2,2.1,1.2,765279.0
Lebanon,3038896.0,22.2,24.2,20.1,12103.0
Bahrain,2582168.0,87.0,78.5,75.3,5479.0
Bulgaria,2530744.0,18.2,17.4,19.0,6454.0
Kuwait,2380000.0,25.1,56.2,19.4,12990.0
Slovenia,2128388.0,52.5,54.4,48.5,6176.0
Uganda,2058553.0,2.6,4.1,1.0,90201.0
Ivory Coast,1982168.0,3.8,5.6,1.4,21752.0
Senegal,1784832.0,5.5,7.6,3.5,2395.0
Georgia,1774769.0,23.8,26.3,21.4,12538.0
Guinea,1732598.0,6.4,8.7,4.0,37511.0
Albania,1732549.0,30.2,32.9,27.5,8351.0
Sudan,1704840.0,2.0,1.5,1.3,23888.0
Ghana,1653422.0,2.7,2.9,2.5,2050.0
Latvia,1635365.0,42.6,47.8,44.1,5554.0
Mauritius,1633952.0,64.5,66.8,62.2,1155.0
Libya,1586055.0,12.1,21.0,3.1,14854.0
North Macedonia,1510665.0,36.3,37.8,34.9,5273.0
Kyrgyzstan,1448417.0,11.3,12.9,9.7,10372.0
Moldova,1401428.0,26.1,23.0,29.3,3636.0
Estonia,1367709.0,51.6,57.2,46.0,3109.0
Kosovo,1312912.0,36.5,44.0,28.9,14684.0
Cyprus,1161031.0,66.3,67.9,63.3,2422.0
Mauritania,1118158.0,13.8,7.9,14.0,50829.0
Malawi,1087426.0,2.7,4.0,2.4,6568.0
Bhutan,1081086.0,72.6,78.5,66.6,2112.0
Trinidad and Tobago,1066324.0,38.2,41.5,35.4,4810.0
Bosnia and Herzegovina,1060145.0,16.1,19.2,12.9,7334.0
Fiji,1033997.0,57.8,68.0,47.6,8390.0
Togo,997632.0,6.2,7.4,5.0,23544.0
Malta,822097.0,83.2,85.2,85.2,1147.0
Nicaragua,788502.0,6.0,7.7,4.4,2155.0
Luxembourg,785963.0,64.0,68.1,65.1,687.0
Jamaica,755782.0,13.9,19.4,9.3,7900.0
Maldives,729253.0,98.0,105.4,90.7,725.0
Zambia,720260.0,2.0,1.8,2.2,4571.0
Timor-Leste,711879.0,27.5,34.1,20.9,5998.0
Macau,667489.0,49.1,53.0,45.4,1992.0
Botswana,606699.0,12.8,17.2,9.5,2729.0
Iceland,554603.0,77.7,78.9,77.5,499.0
Guyana,543180.0,34.6,45.5,23.7,1919.0
Syria,533949.0,-999.0,-999.0,-999.0,23498.0
Niger,512294.0,1.1,1.7,0.5,9294.0
Somalia,477075.0,1.6,1.7,1.5,7524.0
Brunei,474407.0,51.6,62.2,41.0,7171.0
Cameroon,461201.0,0.9,1.5,0.3,451.0
Montenegro,457474.0,36.7,39.0,34.0,2163.0
Madagascar,417648.0,0.8,0.7,0.7,5145.0
Cape Verde,414300.0,37.7,51.7,23.7,3056.0
Armenia,408535.0,6.9,8.9,4.8,5965.0
Namibia,407502.0,8.3,10.5,6.5,4761.0
Mali,405053.0,1.1,1.7,1.2,1800.0
Suriname,397606.0,33.3,38.1,28.5,1740.0
Equatorial Guinea,389970.0,14.3,16.5,12.1,410.0
Tanzania,389807.0,0.3,-999.0,-999.0,5687.0
Yemen,356173.0,0.6,1.0,0.2,2077.0
Comoros,336863.0,19.3,20.0,18.5,249.0
Lesotho,332954.0,8.1,12.2,11.7,6246.0
Republic of the Congo,329905.0,3.6,4.7,2.5,1525.0
Belize,315807.0,38.7,47.6,30.3,3463.0
Liberia,284246.0,3.1,2.3,0.6,8900.0
Burkina Faso,254545.0,0.6,1.2,0.8,8839.0
Eswatini,240002.0,10.8,18.7,18.1,113.0
Barbados,236589.0,41.2,46.5,35.9,1330.0
Sierra Leone,232375.0,1.5,2.4,0.5,805.0
Benin,226269.0,1.0,1.3,0.2,1696.0
Gambia,207195.0,4.4,7.8,7.3,357.0
Papua New Guinea,191925.0,1.1,1.6,0.5,3017.0
Curaçao,187252.0,57.4,60.1,54.8,148.0
Central African Republic,187160.0,2.0,3.0,0.2,212.0
Bahamas,184461.0,24.2,30.0,18.4,10.0
Gabon,180320.0,4.3,4.9,3.8,732.0
Samoa,172316.0,42.9,57.1,28.7,3269.0
Aruba,156061.0,69.7,72.6,66.7,135.0
Jersey,153196.0,-999.0,-999.0,-999.0,329.0
Seychelles,148402.0,77.3,80.5,74.1,154.0
Chad,142548.0,0.4,0.7,0.2,2785.0
DR Congo,134945.0,0.1,0.1,0.05,21.0
Isle of Man,129319.0,76.1,77.0,75.1,3.0
Cayman Islands,106655.0,82.0,84.8,79.2,657.0
Solomon Islands,106074.0,8.3,12.8,3.6,641.0
South Sudan,103751.0,0.4,0.6,0.2,783.0
Greenland,102357.0,89.8,124.5,64.9,300.0
Guernsey,101986.0,-999.0,-999.0,-999.0,44.0
Andorra,95918.0,62.3,68.7,55.9,113.0
Guinea-Bissau,94715.0,2.7,4.9,0.4,3807.0
Antigua and Barbuda,89252.0,46.0,50.1,41.9,1602.0
Bermuda,86676.0,68.8,69.6,68.0,60.0
Sao Tome and Principe,82679.0,19.4,28.4,10.4,2364.0
Gibraltar,79527.0,117.0,117.5,116.4,24.0
St. Lucia,76712.0,21.3,25.3,17.3,425.0
Tonga,74503.0,37.3,47.0,27.5,100.0
Faroe Islands,74291.0,75.8,77.8,73.8,117.0
Micronesia,72601.0,34.9,42.6,-999.0,217.0
Djibouti,67229.0,3.1,3.8,2.4,174.0
Haiti,64799.0,0.3,0.4,0.2,814.0
Grenada,55663.0,25.5,30.4,20.7,579.0
Turks & Caicos,52374.0,68.9,72.2,65.6,77.0
Monaco,49980.0,64.1,68.4,59.8,120.0
Sint Maarten,49310.0,58.7,61.2,56.2,22.0
Saint Kitts and Nevis,47415.0,41.6,44.6,38.6,58.0
San Marino,47100.0,69.3,71.9,71.9,3.0
Dominica,44624.0,31.4,33.3,29.6,82.0
Turkmenistan,41993.0,0.4,0.6,0.2,-999.0
St. Vincent and the Grenadines,33825.0,15.4,18.6,12.2,145.0
Anguilla,18584.0,61.9,63.3,60.6,2.0
Nauru,14863.0,57.2,58.6,55.8,4.0
St. Helena,7892.0,65.8,72.7,58.9,8.0
Falkland Islands,4407.0,73.5,87.7,59.2,202.0
Montserrat,2871.0,28.7,29.7,27.8,2.0
Eritrea,-999.0,-999.0,-999.0,-999.0,-999.0
